category,api,time
system,LdrGetProcedureAddress,1729696804.388645
registry,NtQueryKey,1729696804.403645
registry,NtQueryKey,1729696804.403645
registry,NtQueryKey,1729696804.419645
registry,NtOpenKeyEx,1729696804.419645
registry,NtOpenKeyEx,1729696804.419645
system,LdrLoadDll,1729696804.435645
system,LdrGetProcedureAddress,1729696804.653645
registry,RegEnumKeyW,1729696804.669645
registry,NtQueryKey,1729696804.669645
registry,NtQueryKey,1729696804.669645
registry,NtQueryKey,1729696804.685645
registry,NtOpenKeyEx,1729696804.700645
registry,NtOpenKeyEx,1729696804.716645
registry,NtQueryKey,1729696804.716645
registry,NtQueryKey,1729696804.716645
system,NtClose,1729696804.716645
registry,NtOpenKeyEx,1729696804.716645
registry,NtQueryValueKey,1729696804.716645
system,NtClose,1729696804.716645
registry,RegEnumKeyW,1729696804.747645
system,NtClose,1729696804.747645
system,LdrGetProcedureAddress,1729696804.747645
system,LdrGetProcedureAddress,1729696804.763645
system,LdrGetProcedureAddress,1729696804.763645
registry,NtQueryKey,1729696804.763645
registry,NtOpenKeyEx,1729696804.778645
registry,NtQueryValueKey,1729696804.794645
system,NtClose,1729696804.794645
registry,NtQueryKey,1729696804.794645
registry,NtOpenKeyEx,1729696804.794645
registry,NtQueryValueKey,1729696804.810645
system,NtClose,1729696804.810645
system,LdrGetProcedureAddress,1729696804.810645
registry,NtQueryKey,1729696804.810645
registry,NtOpenKeyEx,1729696804.825645
registry,NtQueryValueKey,1729696804.825645
system,NtClose,1729696804.857645
registry,NtQueryKey,1729696804.857645
registry,NtOpenKeyEx,1729696804.857645
registry,NtQueryValueKey,1729696804.857645
system,NtClose,1729696804.872645
system,LdrLoadDll,1729696804.888645
system,LdrGetProcedureAddress,1729696805.653645
registry,NtQueryKey,1729696805.700645
registry,NtOpenKeyEx,1729696805.700645
registry,NtQueryKey,1729696805.747645
registry,NtOpenKeyEx,1729696805.794645
registry,NtQueryValueKey,1729696805.825645
registry,NtQueryValueKey,1729696805.857645
system,NtClose,1729696805.888645
registry,NtQueryKey,1729696805.919645
registry,NtOpenKeyEx,1729696805.950645
registry,NtQueryValueKey,1729696805.966645
system,NtClose,1729696805.982645
registry,NtQueryKey,1729696806.013645
registry,NtOpenKeyEx,1729696806.028645
registry,NtQueryValueKey,1729696806.107645
system,NtClose,1729696806.122645
registry,NtQueryKey,1729696806.138645
registry,NtOpenKeyEx,1729696806.138645
registry,NtQueryValueKey,1729696806.169645
system,NtClose,1729696806.185645
registry,NtQueryKey,1729696806.185645
registry,NtOpenKeyEx,1729696806.216645
registry,NtQueryValueKey,1729696806.247645
system,NtClose,1729696806.263645
registry,NtQueryKey,1729696806.294645
registry,NtOpenKeyEx,1729696806.310645
registry,NtQueryValueKey,1729696806.325645
system,NtClose,1729696806.341645
registry,NtQueryKey,1729696806.357645
registry,NtOpenKeyEx,1729696806.388645
registry,NtQueryValueKey,1729696806.419645
system,NtClose,1729696806.450645
registry,NtQueryKey,1729696806.466645
registry,NtOpenKeyEx,1729696806.513645
registry,NtQueryValueKey,1729696806.544645
system,NtClose,1729696806.560645
registry,NtQueryKey,1729696806.575645
registry,NtOpenKeyEx,1729696806.591645
registry,NtQueryValueKey,1729696806.622645
system,NtClose,1729696806.622645
registry,NtQueryKey,1729696806.653645
registry,NtOpenKeyEx,1729696806.669645
registry,NtQueryValueKey,1729696806.669645
system,NtClose,1729696806.685645
registry,NtQueryKey,1729696806.700645
registry,NtOpenKeyEx,1729696806.716645
registry,NtQueryValueKey,1729696806.763645
system,NtClose,1729696806.763645
registry,NtQueryKey,1729696806.794645
registry,NtOpenKeyEx,1729696806.794645
registry,NtQueryValueKey,1729696806.794645
registry,NtQueryValueKey,1729696806.794645
registry,NtQueryValueKey,1729696806.810645
registry,NtQueryValueKey,1729696806.857645
registry,NtQueryValueKey,1729696806.857645
registry,NtQueryValueKey,1729696806.872645
registry,NtQueryValueKey,1729696806.872645
registry,NtQueryValueKey,1729696806.888645
registry,NtQueryValueKey,1729696806.903645
registry,NtQueryValueKey,1729696806.919645
registry,NtQueryValueKey,1729696806.982645
registry,NtQueryValueKey,1729696807.075645
registry,NtQueryValueKey,1729696807.122645
registry,NtQueryValueKey,1729696807.232645
registry,NtQueryValueKey,1729696807.263645
system,NtClose,1729696807.278645
registry,NtQueryKey,1729696807.403645
registry,NtQueryKey,1729696807.419645
registry,NtQueryKey,1729696807.466645
registry,NtOpenKeyEx,1729696807.497645
registry,NtOpenKeyEx,1729696807.497645
registry,NtQueryKey,1729696807.513645
registry,NtQueryKey,1729696807.544645
registry,NtQueryKey,1729696807.560645
registry,NtOpenKeyEx,1729696807.575645
registry,NtOpenKeyEx,1729696807.575645
registry,NtQueryKey,1729696807.591645
registry,NtQueryKey,1729696807.622645
registry,NtQueryKey,1729696807.653645
registry,NtOpenKeyEx,1729696807.685645
registry,NtOpenKeyEx,1729696807.685645
registry,NtQueryKey,1729696807.716645
registry,NtQueryKey,1729696807.747645
registry,NtQueryKey,1729696807.763645
registry,NtOpenKeyEx,1729696807.794645
registry,NtOpenKeyEx,1729696807.825645
registry,NtQueryKey,1729696807.872645
registry,NtQueryKey,1729696807.935645
registry,NtQueryKey,1729696807.982645
registry,NtOpenKeyEx,1729696807.982645
registry,NtOpenKeyEx,1729696808.013645
registry,NtQueryKey,1729696808.044645
registry,NtOpenKeyEx,1729696808.044645
registry,NtQueryKey,1729696808.060645
registry,NtOpenKeyEx,1729696808.060645
registry,NtQueryKey,1729696808.075645
registry,NtOpenKeyEx,1729696808.091645
registry,NtQueryKey,1729696808.107645
registry,NtOpenKeyEx,1729696808.138645
system,NtClose,1729696808.153645
system,NtClose,1729696808.153645
registry,NtQueryKey,1729696808.185645
registry,NtQueryKey,1729696808.200645
registry,NtQueryKey,1729696808.247645
registry,NtOpenKeyEx,1729696808.263645
registry,NtOpenKeyEx,1729696808.278645
registry,NtQueryKey,1729696808.310645
registry,NtQueryKey,1729696808.325645
registry,NtQueryKey,1729696808.341645
registry,NtOpenKeyEx,1729696808.357645
registry,NtOpenKeyEx,1729696808.357645
registry,NtQueryKey,1729696808.372645
registry,NtQueryKey,1729696808.388645
registry,NtQueryKey,1729696808.403645
registry,NtOpenKeyEx,1729696808.403645
registry,NtOpenKeyEx,1729696808.403645
registry,NtQueryKey,1729696808.403645
registry,NtQueryKey,1729696808.419645
registry,NtQueryKey,1729696808.419645
registry,NtOpenKeyEx,1729696808.435645
registry,NtOpenKeyEx,1729696808.466645
registry,NtQueryKey,1729696808.482645
registry,NtQueryKey,1729696808.482645
registry,NtQueryKey,1729696808.497645
registry,NtOpenKeyEx,1729696808.513645
registry,NtOpenKeyEx,1729696808.528645
registry,NtQueryKey,1729696808.560645
registry,NtQueryKey,1729696808.560645
system,NtClose,1729696808.591645
registry,NtOpenKeyEx,1729696808.591645
registry,NtQueryKey,1729696808.591645
registry,NtOpenKeyEx,1729696808.638645
registry,NtQueryKey,1729696808.653645
registry,NtQueryKey,1729696808.669645
system,NtClose,1729696808.700645
registry,NtOpenKeyEx,1729696808.716645
registry,NtQueryKey,1729696808.716645
registry,NtOpenKeyEx,1729696808.763645
system,NtClose,1729696808.778645
registry,NtQueryKey,1729696808.810645
registry,NtQueryKey,1729696808.841645
system,NtClose,1729696808.919645
registry,NtOpenKeyEx,1729696808.950645
registry,NtQueryKey,1729696808.966645
registry,NtOpenKeyEx,1729696808.982645
system,NtClose,1729696809.013645
registry,NtQueryKey,1729696809.060645
registry,NtQueryKey,1729696809.060645
system,NtClose,1729696809.278645
registry,NtOpenKeyEx,1729696809.294645
registry,NtQueryKey,1729696809.294645
registry,NtOpenKeyEx,1729696809.310645
registry,NtQueryKey,1729696809.310645
registry,NtQueryKey,1729696809.341645
registry,NtQueryKey,1729696809.341645
registry,NtOpenKeyEx,1729696809.357645
registry,NtOpenKeyEx,1729696809.357645
registry,NtQueryKey,1729696809.357645
registry,NtQueryKey,1729696809.388645
registry,NtQueryKey,1729696809.388645
registry,NtOpenKeyEx,1729696809.419645
registry,NtOpenKeyEx,1729696809.435645
registry,NtQueryKey,1729696809.450645
registry,NtQueryKey,1729696809.466645
registry,NtQueryKey,1729696809.497645
registry,NtOpenKeyEx,1729696809.513645
registry,NtOpenKeyEx,1729696809.528645
registry,NtQueryKey,1729696809.528645
registry,NtQueryKey,1729696809.528645
registry,NtQueryKey,1729696809.544645
registry,NtOpenKeyEx,1729696809.544645
registry,NtOpenKeyEx,1729696809.544645
registry,NtQueryKey,1729696809.560645
registry,NtQueryKey,1729696809.575645
system,NtClose,1729696809.575645
registry,NtOpenKeyEx,1729696809.591645
registry,NtQueryValueKey,1729696809.607645
registry,NtQueryKey,1729696809.638645
registry,NtQueryKey,1729696809.653645
system,NtClose,1729696809.669645
registry,NtOpenKeyEx,1729696809.700645
registry,NtQueryKey,1729696809.747645
registry,NtOpenKeyEx,1729696809.747645
registry,NtQueryKey,1729696809.763645
registry,NtQueryKey,1729696809.778645
system,NtClose,1729696809.778645
registry,NtOpenKeyEx,1729696809.794645
registry,NtQueryValueKey,1729696809.825645
registry,NtQueryKey,1729696809.841645
registry,NtQueryKey,1729696809.857645
system,NtClose,1729696809.872645
registry,NtOpenKeyEx,1729696809.872645
registry,NtQueryKey,1729696809.903645
registry,NtOpenKeyEx,1729696809.935645
registry,NtQueryKey,1729696809.950645
registry,NtQueryKey,1729696809.966645
system,NtClose,1729696809.966645
registry,NtOpenKeyEx,1729696809.982645
registry,NtQueryKey,1729696809.997645
registry,NtOpenKeyEx,1729696810.013645
registry,NtQueryKey,1729696810.028645
registry,NtQueryKey,1729696810.028645
system,NtClose,1729696810.060645
registry,NtOpenKeyEx,1729696810.060645
registry,NtQueryValueKey,1729696810.075645
registry,NtQueryKey,1729696810.091645
registry,NtQueryKey,1729696810.122645
system,NtClose,1729696810.138645
registry,NtOpenKeyEx,1729696810.169645
registry,NtQueryValueKey,1729696810.200645
registry,NtQueryKey,1729696810.216645
registry,NtQueryKey,1729696810.216645
system,NtClose,1729696810.247645
registry,NtOpenKeyEx,1729696810.341645
registry,NtQueryValueKey,1729696810.357645
system,NtClose,1729696810.403645
registry,NtQueryKey,1729696810.419645
registry,NtOpenKeyEx,1729696810.435645
registry,NtQueryKey,1729696810.450645
registry,NtOpenKeyEx,1729696810.450645
system,NtClose,1729696810.466645
registry,NtQueryValueKey,1729696810.497645
registry,NtQueryValueKey,1729696810.513645
registry,NtQueryValueKey,1729696810.607645
registry,NtQueryValueKey,1729696810.607645
registry,NtQueryValueKey,1729696810.638645
registry,NtQueryValueKey,1729696810.653645
registry,NtQueryValueKey,1729696810.669645
registry,NtQueryValueKey,1729696810.685645
registry,NtQueryValueKey,1729696810.685645
registry,NtQueryValueKey,1729696810.700645
registry,NtQueryValueKey,1729696810.700645
registry,NtQueryValueKey,1729696810.716645
registry,NtQueryValueKey,1729696810.716645
registry,NtQueryValueKey,1729696810.747645
registry,NtQueryValueKey,1729696810.763645
registry,NtQueryValueKey,1729696810.778645
registry,NtQueryValueKey,1729696810.794645
registry,NtQueryValueKey,1729696810.794645
registry,NtQueryValueKey,1729696810.794645
registry,NtQueryValueKey,1729696810.810645
registry,NtQueryKey,1729696810.825645
registry,NtOpenKeyEx,1729696810.888645
system,NtClose,1729696810.903645
system,LdrGetProcedureAddress,1729696810.903645
ole,CoInitializeEx,1729696810.919645
process,NtOpenProcess,1729696810.966645
system,NtClose,1729696810.966645
registry,NtQueryKey,1729696810.966645
registry,NtOpenKeyEx,1729696810.982645
registry,NtQueryKey,1729696810.982645
registry,NtOpenKeyEx,1729696810.982645
system,NtClose,1729696811.013645
system,NtClose,1729696811.028645
registry,NtOpenKey,1729696811.060645
registry,NtQueryKey,1729696811.060645
registry,NtOpenKeyEx,1729696811.060645
system,NtClose,1729696811.060645
registry,NtQueryValueKey,1729696811.075645
system,NtClose,1729696811.075645
system,LdrGetProcedureAddress,1729696811.075645
ole,CoCreateInstance,1729696812.107645
process,NtOpenSection,1729696812.138645
process,NtOpenSection,1729696812.169645
file,CreateDirectoryW,1729696812.388645
file,NtCreateFile,1729696812.560645
process,NtOpenSection,1729696812.575645
process,NtOpenSection,1729696812.591645
file,CreateDirectoryW,1729696812.888645
file,NtCreateFile,1729696813.122645
file,DeleteFileW,1729696813.466645
file,NtCreateFile,1729696813.716645
file,GetFileSizeEx,1729696813.794645
file,NtReadFile,1729696813.810645
system,LdrGetProcedureAddress,1729696813.841645
system,LdrGetProcedureAddress,1729696813.857645
system,LdrGetProcedureAddress,1729696813.872645
system,LdrGetProcedureAddress,1729696813.888645
system,LdrGetProcedureAddress,1729696813.903645
file,GetFileInformationByHandleEx,1729696813.919645
system,NtClose,1729696813.919645
synchronisation,GetSystemTimeAsFileTime,1729696813.935645
process,NtOpenSection,1729696813.950645
process,NtMapViewOfSection,1729696813.966645
system,LdrGetProcedureAddress,1729696813.997645
system,LdrGetProcedureAddress,1729696814.013645
ole,CoUninitialize,1729696814.013645
registry,NtQueryKey,1729696814.028645
registry,NtOpenKeyEx,1729696814.044645
registry,NtQueryKey,1729696814.060645
registry,NtOpenKeyEx,1729696814.060645
synchronisation,GetSystemTimeAsFileTime,1729696814.075645
registry,NtQueryKey,1729696814.091645
registry,NtOpenKeyEx,1729696814.091645
registry,NtQueryKey,1729696814.138645
registry,NtOpenKeyEx,1729696814.153645
registry,NtQueryKey,1729696814.185645
registry,NtQueryKey,1729696814.200645
registry,NtQueryKey,1729696814.247645
registry,NtOpenKeyEx,1729696814.263645
registry,NtOpenKeyEx,1729696814.294645
registry,NtQueryKey,1729696814.325645
registry,NtQueryKey,1729696814.341645
system,NtClose,1729696814.357645
registry,NtOpenKeyEx,1729696814.388645
registry,NtQueryKey,1729696814.388645
registry,NtOpenKeyEx,1729696814.419645
registry,NtQueryKey,1729696814.450645
registry,NtQueryKey,1729696814.482645
system,NtClose,1729696814.513645
registry,NtOpenKeyEx,1729696814.513645
registry,NtQueryKey,1729696814.528645
registry,NtOpenKeyEx,1729696814.638645
system,NtClose,1729696814.653645
registry,NtQueryKey,1729696814.685645
registry,NtQueryKey,1729696814.732645
system,NtClose,1729696814.763645
registry,NtOpenKeyEx,1729696814.763645
registry,NtQueryKey,1729696814.778645
registry,NtOpenKeyEx,1729696814.778645
system,NtClose,1729696814.794645
registry,NtQueryKey,1729696814.825645
registry,NtQueryKey,1729696814.841645
system,NtClose,1729696814.841645
registry,NtOpenKeyEx,1729696814.872645
registry,NtQueryKey,1729696814.888645
registry,NtOpenKeyEx,1729696814.888645
registry,NtQueryKey,1729696814.950645
registry,NtQueryKey,1729696814.982645
registry,NtQueryKey,1729696814.997645
registry,NtOpenKeyEx,1729696815.028645
registry,NtOpenKeyEx,1729696815.060645
registry,NtQueryKey,1729696815.075645
registry,NtQueryKey,1729696815.091645
system,NtClose,1729696815.122645
registry,NtOpenKeyEx,1729696815.169645
registry,NtQueryKey,1729696815.169645
registry,NtOpenKeyEx,1729696815.185645
registry,NtQueryKey,1729696815.216645
registry,NtQueryKey,1729696815.232645
registry,NtQueryKey,1729696815.263645
registry,NtOpenKeyEx,1729696815.278645
registry,NtOpenKeyEx,1729696815.294645
registry,NtQueryKey,1729696815.325645
registry,NtQueryKey,1729696815.357645
system,NtClose,1729696815.372645
registry,NtOpenKeyEx,1729696815.388645
registry,NtQueryKey,1729696815.403645
registry,NtOpenKeyEx,1729696815.419645
registry,NtQueryKey,1729696815.450645
registry,NtQueryKey,1729696815.450645
system,NtClose,1729696815.450645
registry,NtOpenKeyEx,1729696815.482645
registry,NtQueryValueKey,1729696815.497645
registry,NtQueryKey,1729696815.528645
registry,NtQueryKey,1729696815.607645
system,NtClose,1729696815.638645
registry,NtOpenKeyEx,1729696815.653645
registry,NtQueryKey,1729696815.669645
registry,NtOpenKeyEx,1729696815.685645
registry,NtQueryKey,1729696815.685645
registry,NtQueryKey,1729696815.716645
system,NtClose,1729696815.732645
registry,NtOpenKeyEx,1729696815.747645
registry,NtQueryValueKey,1729696815.763645
registry,NtQueryKey,1729696815.794645
registry,NtQueryKey,1729696815.810645
system,NtClose,1729696815.810645
registry,NtOpenKeyEx,1729696815.841645
registry,NtQueryKey,1729696815.841645
registry,NtOpenKeyEx,1729696815.857645
registry,NtQueryKey,1729696815.872645
registry,NtQueryKey,1729696815.903645
system,NtClose,1729696815.919645
registry,NtOpenKeyEx,1729696815.935645
registry,NtQueryValueKey,1729696815.950645
registry,NtQueryKey,1729696815.966645
registry,NtQueryKey,1729696815.982645
system,NtClose,1729696815.982645
registry,NtOpenKeyEx,1729696816.013645
registry,NtQueryKey,1729696816.028645
registry,NtOpenKeyEx,1729696816.060645
registry,NtQueryKey,1729696816.091645
registry,NtQueryKey,1729696816.091645
system,NtClose,1729696816.091645
registry,NtOpenKeyEx,1729696816.107645
registry,NtQueryValueKey,1729696816.122645
registry,NtQueryKey,1729696816.200645
registry,NtQueryKey,1729696816.200645
system,NtClose,1729696816.216645
registry,NtOpenKeyEx,1729696816.232645
registry,NtQueryKey,1729696816.278645
registry,NtOpenKeyEx,1729696816.294645
registry,NtQueryKey,1729696816.310645
registry,NtQueryKey,1729696816.341645
system,NtClose,1729696816.388645
registry,NtOpenKeyEx,1729696816.419645
registry,NtQueryValueKey,1729696816.450645
registry,NtQueryKey,1729696816.466645
registry,NtQueryKey,1729696816.466645
system,NtClose,1729696816.497645
registry,NtOpenKeyEx,1729696816.513645
registry,NtQueryKey,1729696816.528645
registry,NtOpenKeyEx,1729696816.528645
registry,NtQueryKey,1729696816.622645
registry,NtQueryKey,1729696816.638645
system,NtClose,1729696816.638645
registry,NtOpenKeyEx,1729696816.653645
registry,NtQueryValueKey,1729696816.669645
registry,NtQueryKey,1729696816.685645
registry,NtQueryKey,1729696816.716645
system,NtClose,1729696816.747645
registry,NtOpenKeyEx,1729696816.763645
registry,NtQueryKey,1729696816.778645
registry,NtOpenKeyEx,1729696816.778645
registry,NtQueryKey,1729696816.794645
registry,NtQueryKey,1729696816.825645
system,NtClose,1729696816.825645
registry,NtOpenKeyEx,1729696816.857645
registry,NtQueryKey,1729696816.872645
registry,NtOpenKeyEx,1729696816.888645
registry,NtQueryKey,1729696816.903645
registry,NtQueryKey,1729696816.919645
system,NtClose,1729696816.919645
registry,NtOpenKeyEx,1729696816.935645
registry,NtQueryKey,1729696816.966645
registry,NtOpenKeyEx,1729696816.997645
registry,NtQueryKey,1729696817.013645
registry,NtQueryKey,1729696817.028645
system,NtClose,1729696817.044645
registry,NtOpenKeyEx,1729696817.060645
registry,NtQueryKey,1729696817.091645
registry,NtOpenKeyEx,1729696817.122645
registry,NtQueryKey,1729696817.122645
registry,NtQueryKey,1729696817.122645
system,NtClose,1729696817.153645
registry,NtOpenKeyEx,1729696817.169645
registry,NtQueryValueKey,1729696817.185645
registry,NtQueryKey,1729696817.185645
registry,NtQueryKey,1729696817.185645
system,NtClose,1729696817.216645
registry,NtOpenKeyEx,1729696817.216645
registry,NtQueryValueKey,1729696817.263645
registry,NtQueryKey,1729696817.278645
registry,NtQueryKey,1729696817.294645
system,NtClose,1729696817.325645
registry,NtOpenKeyEx,1729696817.341645
registry,NtQueryValueKey,1729696817.357645
registry,NtQueryKey,1729696817.388645
registry,NtQueryKey,1729696817.403645
system,NtClose,1729696817.419645
registry,NtOpenKeyEx,1729696817.419645
registry,NtQueryValueKey,1729696817.435645
registry,NtQueryKey,1729696817.482645
registry,NtQueryKey,1729696817.513645
system,NtClose,1729696817.513645
registry,NtOpenKeyEx,1729696817.528645
registry,NtQueryValueKey,1729696817.607645
registry,NtQueryKey,1729696817.622645
registry,NtQueryKey,1729696817.622645
system,NtClose,1729696817.622645
registry,NtOpenKeyEx,1729696817.638645
registry,NtQueryValueKey,1729696817.653645
registry,NtQueryKey,1729696817.669645
registry,NtQueryKey,1729696817.685645
system,NtClose,1729696817.685645
registry,NtOpenKeyEx,1729696817.716645
registry,NtQueryValueKey,1729696817.747645
system,NtClose,1729696817.763645
system,NtClose,1729696817.778645
system,NtClose,1729696817.794645
registry,NtQueryKey,1729696817.794645
registry,NtOpenKeyEx,1729696817.794645
registry,NtQueryKey,1729696817.810645
registry,NtOpenKeyEx,1729696817.825645
system,NtClose,1729696817.841645
registry,NtQueryValueKey,1729696817.841645
registry,NtQueryValueKey,1729696817.903645
registry,NtQueryValueKey,1729696817.919645
registry,NtQueryValueKey,1729696817.950645
registry,NtQueryValueKey,1729696817.966645
registry,NtQueryValueKey,1729696817.982645
registry,NtQueryValueKey,1729696817.997645
registry,NtQueryValueKey,1729696817.997645
registry,NtQueryValueKey,1729696818.013645
registry,NtQueryValueKey,1729696818.028645
registry,NtQueryValueKey,1729696818.044645
registry,NtQueryValueKey,1729696818.060645
registry,NtQueryValueKey,1729696818.091645
registry,NtQueryValueKey,1729696818.107645
registry,NtQueryValueKey,1729696818.107645
registry,NtQueryValueKey,1729696818.122645
registry,NtQueryValueKey,1729696818.122645
registry,NtQueryValueKey,1729696818.153645
registry,NtQueryValueKey,1729696818.153645
registry,NtQueryValueKey,1729696818.169645
registry,NtQueryKey,1729696818.169645
registry,NtOpenKeyEx,1729696818.185645
system,NtClose,1729696818.185645
ole,CoInitializeEx,1729696818.185645
process,NtOpenProcess,1729696818.200645
system,NtClose,1729696818.200645
registry,NtQueryKey,1729696818.216645
registry,NtOpenKeyEx,1729696818.232645
registry,NtQueryKey,1729696818.232645
registry,NtOpenKeyEx,1729696818.263645
system,NtClose,1729696818.263645
